Company,Country,Continent,Laid_Off,Percentage,Industry,Stage,Year,Company_Size_before_Layoffs
PayPal,Ireland,Europe,85,NA,Finance,Post-IPO,2024,NA
Emma Sleep,Germany,Europe,200,18,Retail,Acquired,2024,1111
Emma Sleep,Germany,Europe,200,18,Retail,Acquired,2024,1111
Trade Republic,Germany,Europe,NA,NA,Finance,Unknown,2024,NA
Trade Republic,Germany,Europe,NA,NA,Finance,Unknown,2024,NA
BeReal,France,Europe,NA,NA,Consumer,Acquired,2024,NA
Octopus Ventures,UK,Europe,8,16,Finance,Unknown,2024,50
BeReal,France,Europe,NA,NA,Consumer,Acquired,2024,NA
Cint,Sweden,Europe,NA,NA,Data,Post-IPO,2024,NA
Spotify,Sweden,Europe,40,NA,Media,Post-IPO,2024,NA
Delivery Hero,Germany,Europe,200,NA,Food,Post-IPO,2024,NA
Infineon,Germany,Europe,1400,NA,Manufacturing,Post-IPO,2024,NA
Mister Spex,Germany,Europe,NA,10,Retail,Post-IPO,2024,NA
Matter Labs,Germany,Europe,NA,16,Crypto,Unknown,2024,NA
WeTransfer,Netherlands,Europe,260,75,Other,Acquired,2024,347
Runtastic,Austria,Europe,170,NA,Fitness,Acquired,2024,NA
CarTrawler,Ireland,Europe,40,10,Transportion,Acquired,2024,400
Northvolt,Sweden,Europe,1600,20,Energy,Unknown,2024,8000
ABBYY,Cyprus,Europe,200,NA,Data,Unknown,2024,NA
Zapp,UK,Europe,NA,NA,Food,Series B,2024,NA
Catena Media,Malta,Europe,2,NA,Marketing,Unknown,2024,NA
Airthings,Norway,Europe,NA,NA,Hardware,Unknown,2024,NA
Just Eat,Netherlands,Europe,300,2,Food,Acquired,2024,15000
Personio,Germany,Europe,115,6,HR,Series E,2024,1917
TrueLayer,UK,Europe,71,25,Finance,Series E,2024,284
Adjust,Germany,Europe,304,NA,Marketing,Acquired,2024,NA
Spectrm,Germany,Europe,NA,NA,Marketing,Series B,2024,NA
Lilium,Germany,Europe,1000,100,Aerospace,Post-IPO,2024,1000
Wayfair,Germany,Europe,730,3,Retail,Post-IPO,2025,24333
Boozt,Sweden,Europe,NA,10,Retail,Post-IPO,2025,NA
HeyJobs,Germany,Europe,90,NA,Recruiting,Series B,2025,NA
Chrono24,Germany,Europe,110,24,Retail,Series C,2025,458
Unbabel,Portugal,Europe,66,25,Support,Series C,2025,264
Turso,Canada,Europe,NA,NA,Product,Seed,2025,NA
MessageBird,Netherlands,Europe,120,33,Other,Series C,2025,364
Zepz,United Kingdom,Europe,200,20,Finance,Series E,2025,1000
Sophos,USA,Europe,NA,6,Security,Acquired,2025,NA
Logically,United Kingdom,Europe,40,20,AI,Series A,2025,200
Commercetools,Germany,Europe,NA,10,Retail,Series C,2025,NA
TikTok,USA,Europe,300,NA,Consumer,Acquired,2025,NA
Arrival,United Kingdom,Europe,NA,100,Transportation,Post-IPO,2025,NA
Northvolt,Sweden,Europe,2800,62,Energy,Unknown,2025,4516
Tract,United Kingdom,Europe,NA,NA,Real Estate,Unknown,2025,NA
Forto,USA,Europe,200,NA,Logistics,Series D,2025,NA
Beam,United Kingdom,Europe,200,100,Other,Unknown,2025,200
Builder.ai,USA,Europe,NA,100,AI,Series D,2025,NA
Climeworks,Switzerland,Europe,106,22,Energy,Private Equity,2025,482
TikTok,USA,Europe,NA,NA,Consumer,Acquired,2025,NA
King,UK,Europe,200,NA,Gaming,,2025,NA
Supermassive Games,UK,Europe,36,NA,Computer games,,2025,NA
Phase,Germany,Europe,30,100,The Animation Tool for UI/UX Designers.,,2025,30
Eyeo,Germany,Europe,NA,40,Technology. Information and Internet,,2025,NA
TikTok,Germany,Europe,150,NA,Video-sharing social network,,2025,NA
Bithell Games,UK,Europe,11,NA,Computer Games,,2025,NA
Ubisoft,France,Europe,9,NA,Computer Games,,2025,NA
Accenture,Ireland,Europe,11000,NA,Business Consulting and Services,,2025,NA
Starbreeze Entertainment,Sweden,Europe,44,NA,Computer Games,,2025,NA
Rovio,Finland,Europe,36,NA,Computer Games,,2025,NA
Robin AI,UK,Europe,NA,33,Legal Intelligence,,2025,NA
Bitdefender,Romania,Europe,NA,7,Cybersecurity,,2025,NA
Pleo,Denmark,Europe,100,NA,Financial Services,,2025,NA
Thunderful Group,Sweden,Europe,60,NA,Computer Games,,2025,NA
Covalen,Ireland,Europe,400,NA,Outsourcing and Offshoring Consulting,,2025,NA
Outright Games,UK,Europe,27,NA,Computer games,,2025,NA
Cellebrite,Israel,Europe,20,NA,Digital Intelligence,,2025,NA
Glowmade,UK,Europe,NA,NA,Computer Games,,2025,NA
Amazon,Luxembourg,Europe,370,NA,E-commerce,,2025,NA
